args0,cores,date,host,host-id,mean-runtime,platform,spec-name
39,2,1459817475,cores2n15,8096525676148864294,2720445.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,2,1459817475,cores2n15,8096525676148864294,8887312.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
39,2,1459858348,cores2n23,4034517676866803074,4895480.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,2,1459858348,cores2n23,4034517676866803074,6113179.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
39,4,1459860338,cores4n5,1226311876551249361,2990802.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,4,1459860338,cores4n5,1226311876551249361,5958056.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
39,1,1459821894,cores1n37,1766031687603364860,5066491.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,1,1459821894,cores1n37,1766031687603364860,10123240.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
39,1,1459821894,cores1n31,6445460674707366908,5492696.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,1,1459821894,cores1n31,6445460674707366908,9020236.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
39,1,1459821894,cores1n38,8892555636344005628,11402254.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
39,1,1459862701,cores1n42,117195001094341278,5224166.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,1,1459862701,cores1n42,117195001094341278,5731210.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
39,2,1459817475,cores2n4,4166323334053541158,9232291.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,2,1459817475,cores2n4,4166323334053541158,4913768.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
39,1,1459856561,cores1n6,296718943235480213,4979891.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,1,1459856561,cores1n6,296718943235480213,11449290.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
,6,,cores6n1,5317119289410376473,192000.0,Intel Sandy Bridge,fib.fj_java
,6,,cores6n1,5317119289410376473,589000.0,Intel Sandy Bridge,fib.serial_java
39,4,1459860341,cores4n10,8736537947134627281,2621758.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,4,1459860341,cores4n10,8736537947134627281,5322747.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
benchmark_specs/data/id3-small.dat,1,1459842777,cores1n11,4631332708682748018,9230721.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,1,1459842777,cores1n11,4631332708682748018,11641515.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
,1,,cores1n37,6901224827289235314,570000.0,Intel Sandy Bridge,fib.fj_java
,1,,cores1n37,6901224827289235314,607000.0,Intel Sandy Bridge,fib.serial_java
,2,,cores2n16,286942472388373619,530000.0,Intel Sandy Bridge,fib.fj_java
,2,,cores2n16,286942472388373619,559000.0,Intel Sandy Bridge,fib.serial_java
,2,,cores2n24,5683170122163725815,534000.0,Intel Sandy Bridge,fib.fj_java
,2,,cores2n24,5683170122163725815,561000.0,Intel Sandy Bridge,fib.serial_java
,2,,cores2n15,2793994739390481552,548000.0,Intel Sandy Bridge,fib.fj_java
,2,,cores2n15,2793994739390481552,629000.0,Intel Sandy Bridge,fib.serial_java
,1,,cores1n34,5143696090615121811,595000.0,Intel Sandy Bridge,fib.fj_java
,1,,cores1n34,5143696090615121811,629000.0,Intel Sandy Bridge,fib.serial_java
benchmark_specs/data/id3-small.dat,2,1459877942,cores2n15,855786151731939055,8643347.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,2,1459877942,cores2n15,855786151731939055,8989964.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
,2,,cores2n13,4112238193874489962,633000.0,Intel Sandy Bridge,fib.fj_java
,2,,cores2n13,4112238193874489962,703000.0,Intel Sandy Bridge,fib.serial_java
benchmark_specs/data/id3-small.dat,1,1459842777,cores1n33,4519432773214064754,8810369.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,1,1459842777,cores1n33,4519432773214064754,9611800.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
39,2,1459838707,cores2n3,1448899162256891991,10219062.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,2,1459838707,cores2n3,1448899162256891991,7079768.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
,6,,cores6n4,2468892373945314029,212000.0,Intel Sandy Bridge,fib.fj_java
,6,,cores6n4,2468892373945314029,572000.0,Intel Sandy Bridge,fib.serial_java
,1,,cores1n16,6291494940483429583,597000.0,Intel Sandy Bridge,fib.fj_java
,1,,cores1n16,6291494940483429583,639000.0,Intel Sandy Bridge,fib.serial_java
,2,,cores2n23,3631152352929383568,484000.0,Intel Sandy Bridge,fib.fj_java
,2,,cores2n23,3631152352929383568,566000.0,Intel Sandy Bridge,fib.serial_java
benchmark_specs/data/id3-small.dat,1,1459875744,cores1n23,3743376652918215052,8782906.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,1,1459875744,cores1n23,3743376652918215052,9799767.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
,1,,cores1n18,3074215851938731375,591000.0,Intel Sandy Bridge,fib.fj_java
,1,,cores1n18,3074215851938731375,625000.0,Intel Sandy Bridge,fib.serial_java
,4,,cores4n9,3188392738549558711,291000.0,Intel Sandy Bridge,fib.fj_java
,4,,cores4n9,3188392738549558711,552000.0,Intel Sandy Bridge,fib.serial_java
39,1,1459862701,cores1n7,3898202050616230558,7381761.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,1,1459862701,cores1n7,3898202050616230558,5891975.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
benchmark_specs/data/id3-small.dat,1,1459868886,cores1n12,703682663787948662,9332490.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
